"","review_count","Accepts_Credit_Cards","Number_of_Checkins","open_7_days","offer_free_wifi","no_of_cuisine","serve_alcohol","low_price","medium_price","high_price","offer_delivery","offer_outdoor_seating","is_good_for_groups","is_good_for_kids","take_reservation","has_takeout","has_any_parking","moderate_noise_level","class_high_rated"
"1",4,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1
"2",4,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0
"3",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"4",5,1,9,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"5",5,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0
"6",20,1,23,0,0,3,1,1,0,0,0,0,1,1,0,1,0,1,1
"7",3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
"8",21,1,55,0,1,3,1,1,0,0,0,1,1,0,0,1,1,0,1
"9",7,1,5,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"10",4,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"11",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"12",5,1,5,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"13",3,1,4,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"14",3,1,4,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"15",8,1,15,1,0,3,0,1,0,0,0,0,1,1,0,1,0,1,0
"16",4,1,23,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1
"17",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"18",4,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"19",7,1,11,0,1,3,1,1,0,0,0,0,1,1,0,1,1,1,1
"20",58,0,108,1,0,2,0,1,0,0,0,0,0,1,0,1,1,1,1
"21",6,1,15,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"22",7,1,7,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0
"23",7,1,7,0,0,2,1,0,1,0,0,1,1,0,0,1,1,1,0
"24",4,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"25",10,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"26",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"27",5,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"28",8,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"29",9,1,5,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0
"30",4,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"31",9,1,38,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1
"32",6,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"33",64,1,86,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0
"34",3,1,5,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
"35",3,1,3,1,0,2,0,1,0,0,1,0,1,1,0,1,0,1,0
"36",20,1,207,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
